Product/Service Name,Variant Name,Quantity on hand,Item type,"Single,parent or variant?",Category,SKU,Taxable,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Option 4 name,Option 4 value,Option 5 name,Option 5 value,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point
Rental Revenue - Airbnb Income - Accommodation Fare,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Airbnb Income - Cleaning Fee,,0,Service,Single,,,Yes,,,,,,,,,,,0.0,0.0,,,,,,0
Rental Revenue - Airbnb Income - Resolution Adjustment,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Airbnb Refund - Accommodation Fare,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Airbnb Refund - Cleaning Fee,,0,Service,Single,,,Yes,,,,,,,,,,,0.0,0.0,,,,,,0
Rental Revenue - Airbnb Refund - Resolution Adjustment,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Vrbo Income - Accommodation Fare,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Vrbo Income - Cleaning Fee,,0,Service,Single,,,Yes,,,,,,,,,,,0.0,0.0,,,,,,0
Rental Revenue - Vrbo Income - Other Fees Collected,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Rental Revenue - Vrbo Refunds,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Sales Tax,,0,Service,Single,Tax,,No,,,,,,,,,,,,,,,,Sales Tax Paid to Vendor,,0
Services,,0,Service,Single,,,Yes,,,,,,,,,,,0.0,0.0,,,,,,0
Shopify App Installation & Configuration,,0,Service,Single,Shopify,SHOP-APP-INSTALL,No,,,,,,,,,,,150.0,0.0,,,,Installation and configuration of approved Shopify apps.,,0
Shopify App Stack Optimization,,0,Service,Single,Shopify,SHOP-APP-OPT,No,,,,,,,,,,,300.0,0.0,,,,Review and optimization of installed Shopify apps to reduce bloat and improve performance.,,0
Shopify Content Updates,,0,Service,Single,Shopify,SHOP-CONTENT,No,,,,,,,,,,,100.0,0.0,,,,"Product, page, or collection content updates within Shopify.",,0
Shopify Conversion Optimization (Light),,0,Service,Single,Shopify,SHOP-CRO-LT,No,,,,,,,,,,,400.0,0.0,,,,Light conversion rate optimization including layout adjustments and CTA improvements.,,0
Shopify Maintenance (Advanced Monthly),,0,Service,Single,Shopify,SHOP-MAINT-ADV,No,,,,,,,,,,,600.0,0.0,,,,"Advanced Shopify maintenance including ongoing optimization, CRO tweaks, and enhanced support.",,0
Shopify Maintenance (Basic Monthly),,0,Service,Single,Shopify,SHOP-MAINT-BASIC,No,,,,,,,,,,,150.0,0.0,,,,"Basic monthly Shopify maintenance including updates, minor fixes, and general support.",,0
Shopify Maintenance (Standard Monthly),,0,Service,Single,Shopify,SHOP-MAINT-STD,No,,,,,,,,,,,300.0,0.0,,,,"Standard monthly Shopify maintenance with performance monitoring, small UX improvements, and priority support.",,0
Shopify Management Support,,0,Service,Single,Service,DM-SHOP-SUP,Yes,,,,,,,,,,,0.0,0.0,,,,"Vendor onboarding, inventory management, and Shopify support services.",PCW Integrates - Services,0
Shopify Monthly Growth Support,,0,Service,Single,Shopify,SHOP-GROWTH-M,No,,,,,,,,,,,500.0,0.0,,,,Ongoing Shopify support focused on gradual performance and usability improvements.,,0
Shopify SEO Hygiene,,0,Service,Single,Shopify,SHOP-SEO-HYG,No,,,,,,,,,,,300.0,0.0,,,,"Basic SEO hygiene including meta data cleanup, broken link fixes, and image optimization.",,0
Shopify Site Cleanup (Full),,0,Service,Single,Shopify,SHOP-CLEAN-FULL,No,,,,,,,,,,,1500.0,0.0,,,,"Full Shopify site cleanup including app stack overhaul, theme refactor, UX improvements, and performance optimization.",,0
Shopify Site Cleanup (Light),,0,Service,Single,Shopify,SHOP-CLEAN-LT,No,,,,,,,,,,,300.0,0.0,,,,"Light cleanup of existing Shopify store including app cleanup, minor theme fixes, mobile adjustments, and navigation cleanup.",,0
Shopify Site Cleanup (Light),,0,Service,Single,Service,SHOP-CLEAN-LT,Yes,,,,,,,,,,,300.0,0.0,,,,"Light cleanup and polish of existing Shopify store, including app cleanup, minor theme fixes, mobile adjustments, and navigation cleanup.",,0
Shopify Site Cleanup (Standard),,0,Service,Single,Shopify,SHOP-CLEAN-STD,No,,,,,,,,,,,750.0,0.0,,,,"Standard Shopify cleanup including app optimization, theme cleanup, navigation improvements, and performance tuning.",,0
Shopify Speed Optimization,,0,Service,Single,Shopify,SHOP-SPEED,No,,,,,,,,,,,350.0,0.0,,,,Performance optimization focused on improving Shopify site load times and responsiveness.,,0
Shopify Store Audit,,0,Service,Single,Shopify,SHOP-AUDIT,No,,,,,,,,,,,250.0,0.0,,,,"Comprehensive audit of Shopify store covering theme, apps, performance, UX, and configuration.",,0
Shopify Theme Optimization,,0,Service,Single,Shopify,SHOP-THEME-OPT,No,,,,,,,,,,,400.0,0.0,,,,"Theme-level optimization including layout fixes, mobile improvements, and performance tuning.",,0
Shopify Troubleshooting & Bug Fixes,,0,Service,Single,Shopify,SHOP-SUPPORT,No,,,,,,,,,,,125.0,0.0,,,,Troubleshooting and resolution of Shopify site issues or bugs.,,0
"Spa Drain, Clean, & Fill Service",,0,Service,Single,,SPA-DCF,Yes,,,,,,,,,,,350.0,0.0,,,,"Water will be drained, the shell will be cleaned, and the water will be left balanced and
ready for use.",,0
Staircase Trim,,0,Service,Single,Service,,No,,,,,,,,,,,0.0,0.0,,,,CUSTOM:Caulk open gaps on stair skirt boards and repaint all stair baseboards/skirt boards for a clean finish.,,0
Vrbo Advanced Guest Deposits,,0,Service,Single,,,No,,,,,,,,,,,,,,,,,,0
Website License Bundle,,0,Service,Single,PCW Integrates:Cloud Services,WEB-LIS,Yes,,,,,,,,,,,0.0,0.0,,,,"Annual bundle covering Elementor Pro, WordPress hosting/license, Shopify plan, FluentCRM, LearnDash, AffiliateWP, forms/email plugin stack, and Zapier subscription.",PCW Integrates - Services,0
Website Migration,,0,Service,Single,Service,DM-MIG-SHOP,Yes,,,,,,,,,,,0.0,0.0,,,,Full migration of Dynamic Marching from Squarespace/CC360 to Shopify with product import.,PCW Integrates - Services,0
Woocommerce Shipping Item,,0,Service,Single,,,No,,,,,,,,,,,0.0,0.0,,,,,,0
WordPress Frontend Build,,0,Service,Single,Service,DM-WP-BUILD,Yes,,,,,,,,,,,0.0,0.0,,,,"WordPress site development with Elementor Pro, theme styling, and Shopify integration.",PCW Integrates - Services,0
Workers Paid,,0,Service,Single,,CF009,Yes,,,,,,,,,,,0.0,0.0,,,,Cloudflare Workers Paid,SAAS - CLOUDFLARE,0
